Id,Label,Type,Class
Lila,Lila,Character,Primary Character
Nunzia Cerullo,Nunzia Cerullo,Character,Cerullo Family
la maestra,la maestra,Character,School
La Oliviero,La Oliviero,Character,School
Nunzia,Nunzia,Character,Cerullo Family
Cerullo,Cerullo,Character,Primary Character
Cerullo,Cerullo,Character,Primary Character
Lila,Lila,Character,Primary Character
la maestra,la maestra,Character,School
Lila,Lila,Character,Primary Character
La Oliviero,La Oliviero,Character,School
la signora Cerullo,la signora Cerullo,Character,Cerullo Family
figlia,figlia,Character,Primary Character
la maestra,la maestra,Character,School
Lila,Lila,Character,Primary Character
la signora Cerullo,la signora Cerullo,Character,Cerullo Family
Nunzia,Nunzia,Character,Cerullo Family
la maestra,la maestra,Character,School
Lila,Lila,Character,Primary Character
Cerullo,Cerullo,Character,Primary Character
Cerullo,Cerullo,Character,Primary Character
Rino,Rino,Character,Cerullo Family
la bambina,la bambina,Character,Primary Character
Rino,Rino,Character,Cerullo Family
Rino,Rino,Character,Cerullo Family
sorella,sorella,Character,Primary Character
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
la maestra,la maestra,Character,School
mio padre,mio padre,Character,Greco Family
mia madre,mia madre,Character,Greco Family
mio padre,mio padre,Character,Greco Family
Lenuccia,Lenuccia,Character,Primary Character
la maestra,la maestra,Character,School
Greco,Greco,Character,Greco Family
La Oliviero,La Oliviero,Character,School
mia madre,mia madre,Character,Greco Family
la signora Cerullo,la signora Cerullo,Character,Cerullo Family
la maestra Oliviero,la maestra Oliviero,Character,School
Lila,Lila,Character,Primary Character
Lila,Lila,Character,Primary Character
quella bambina,quella bambina,Character,Primary Character
